host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
f,1,t,St. Croix,House,Private room,2,3.5,1,2,Real Bed,85,,2,25,2,1125,12,98,f,flexible
t,7,f,Hennepin,House,Private room,2,1,1,2,Real Bed,85,200,1,0,3,1125,113,99,f,flexible
f,2,f,Hennepin,House,Entire home/apt,3,1,2,1,Real Bed,140,200,1,0,3,10,3,100,f,moderate
f,2,t,Hennepin,Apartment,Entire home/apt,6,1,3,4,Real Bed,120,300,3,25,2,90,44,98,f,moderate
f,1,t,Ramsey,Apartment,Entire home/apt,3,1,1,2,Real Bed,77,400,2,15,3,90,40,93,f,moderate
t,2,f,Washington,Guest suite,Entire home/apt,2,1,1,2,Pull-out Sofa,99,,2,25,1,6,111,98,f,moderate
t,4,t,Hennepin,House,Entire home/apt,1,1,1,1,Real Bed,87,0,2,20,1,1125,90,98,f,strict_14_with_grace_period
f,1,t,Dakota,Townhouse,Private room,2,1.5,1,1,Real Bed,42,0,2,15,2,29,102,92,f,moderate
t,3,t,Washington,House,Entire home/apt,12,2,4,7,Real Bed,130,250,3,20,2,89,56,94,f,strict_14_with_grace_period
t,2,t,Ramsey,Loft,Entire home/apt,4,1,1,2,Real Bed,99,100,2,25,3,1000,149,98,f,strict_14_with_grace_period
f,1,t,Scott,House,Entire home/apt,4,3.5,4,3,Real Bed,325,2500,3,50,90,365,0,,f,moderate
t,1,t,Hennepin,House,Private room,2,1.5,1,1,Real Bed,46,0,1,24,1,1125,24,93,f,flexible
f,2,t,Wright,House,Entire home/apt,8,1.5,3,5,Real Bed,322,500,6,35,2,30,23,97,f,strict_14_with_grace_period
t,7,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,500,1,15,3,1125,20,96,f,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,Real Bed,59,,1,10,1,1125,25,99,f,flexible
f,3,t,Hennepin,House,Private room,2,1,1,1,Real Bed,82,,1,0,1,1125,12,97,f,moderate
f,3,t,Hennepin,House,Private room,1,2.5,1,1,Real Bed,75,,1,0,1,1125,2,100,f,moderate
f,3,t,Hennepin,House,Entire home/apt,9,2.5,4,4,Real Bed,250,,1,0,3,7,2,100,f,strict_14_with_grace_period
t,2,f,Ramsey,House,Private room,3,2,1,2,Real Bed,60,,1,0,2,1125,149,96,t,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,Real Bed,49,100,1,10,2,1125,54,97,f,flexible
t,3,t,Ramsey,House,Entire home/apt,6,1.5,2,4,Real Bed,89,175,2,15,2,365,98,93,f,moderate
